subset,cluster,rule_index,rule
KPrototypes — Full Dataset,0,1,jba <= 2.5
KPrototypes — Full Dataset,0,2,ctiastr <= 0.5 & dwa > 0.5 & plarea <= 1.5
KPrototypes — Full Dataset,0,3,plarea <= 0.5
KPrototypes — Full Dataset,0,4,gsm > 0.5
KPrototypes — Full Dataset,0,5,ctiastr > 0.5 & dwa > 0.5 & jba > 2.5 & plarea <= 1.5 & stenosis <= 0.5
KPrototypes — Full Dataset,1,1,dwa <= 0.5 & jba > 2.5
KPrototypes — Full Dataset,1,2,ctiastr <= 0.5 & dwa > 0.5 & gsm <= 1.5 & jba > 2.5 & plarea > 1.5
KPrototypes — Full Dataset,1,3,ctiastr > 0.5 & gsm <= 0.5 & jba > 2.5 & plarea <= 1.5 & plarea > 0.5 & stenosis > 0.5
KPrototypes — Full Dataset,1,4,gsm <= 0.5 & jba > 2.5 & stenosis > 1.5
KPrototypes — Full Dataset,1,5,ctiastr > 0.5 & jba > 2.5 & plarea > 1.5 & stenosis > 1.5
KPrototypes — Full Dataset,1,6,gsm <= 0.5 & jba > 2.5 & plarea > 1.5
KPrototypes — Full Dataset,1,7,ctiastr <= 0.5 & jba > 2.5 & plarea > 1.5 & stenosis <= 1.5 & stenosis > 0.5
KPrototypes — Full Dataset,1,8,jba > 2.5 & plarea > 1.5 & stenosis <= 0.5
KPrototypes — Full Dataset,1,9,ctiastr > 0.5 & gsm > 0.5 & jba > 2.5 & plarea <= 1.5 & stenosis <= 1.5
